type,original-index,augmentation-index,gaussian_noise,blur,rotation_angle,zoom,flip_image
green,006,0,14,1,-3.2642295992873365,11,horizontal
green,006,1,17,1,2.2610730315668945,1,vertical
green,006,2,42,1,6.089568565323837,3,both
green,006,3,44,0,23.290947824634408,3,horizontal
green,006,4,0,1,-12.770057655367005,8,both
green,006,5,40,0,-11.264845355832488,4,vertical
green,006,6,37,0,-9.112657781110443,4,horizontal
green,006,7,33,0,2.796650624159824,8,horizontal
green,006,8,31,0,2.899362646173941,5,both
green,006,9,28,1,-16.906394514439906,18,vertical
green,013,0,5,1,-19.320380324964205,15,horizontal
green,013,1,4,1,23.179705542696368,10,vertical
green,013,2,12,0,29.492890911979877,3,horizontal
green,013,3,37,0,-29.62589801418086,15,horizontal
green,013,4,16,1,19.574975078118364,5,horizontal
green,013,5,7,1,-6.861568037504984,20,horizontal
green,013,6,31,1,-4.661850750898015,14,vertical
green,013,7,37,1,10.562663171366943,19,horizontal
green,013,8,3,0,23.122484306186955,11,vertical
green,013,9,37,1,-20.962085867604948,9,horizontal
green,014,0,42,1,11.091970015512558,12,both
green,014,1,17,1,-8.50804007807384,20,vertical
green,014,2,10,0,-10.520876758950148,9,vertical
green,014,3,19,1,-20.604459688220366,17,horizontal
green,014,4,28,0,-24.806342365659955,2,vertical
green,014,5,6,1,25.72676032791105,19,horizontal
green,014,6,12,0,8.568007290648112,3,horizontal
green,014,7,18,1,9.738787366798185,13,horizontal
green,014,8,43,1,-27.522625024131106,6,vertical
green,014,9,9,0,-4.313872532470079,11,vertical
green,017,0,43,0,19.461076847111123,20,vertical
green,017,1,30,1,-26.158680917005622,1,horizontal
green,017,2,17,0,-22.34314145981603,2,both
green,017,3,37,0,9.605089529212911,15,vertical
green,017,4,12,1,-0.14224467053244538,17,vertical
green,017,5,13,1,-15.054373397317946,18,vertical
green,017,6,46,0,-27.831647750514247,8,vertical
green,017,7,40,1,-1.4943232891263456,9,vertical
green,017,8,13,0,-28.692299271077317,7,horizontal
green,017,9,33,0,-1.0002045016130552,16,vertical
green,034,0,4,1,-1.2580265027977298,0,horizontal
green,034,1,17,0,3.6132598277884824,15,vertical
green,034,2,49,1,-2.638545888022861,1,horizontal
green,034,3,39,0,8.303605433380845,8,vertical
green,034,4,47,1,-9.698482297006276,10,both
green,034,5,11,0,18.552752729532585,18,vertical
green,034,6,23,0,-19.001740772802997,14,vertical
green,034,7,49,1,-22.868273112225133,15,both
green,034,8,38,1,-21.746357682855162,14,vertical
green,034,9,40,1,-7.565208431468783,16,vertical
green,037,0,0,0,11.213594263261307,15,both
green,037,1,14,0,-25.87825444941322,18,vertical
green,037,2,31,1,16.3019619722507,18,horizontal
green,037,3,32,0,-13.421138793895864,20,horizontal
green,037,4,6,1,10.633789838189578,2,vertical
green,037,5,42,0,-29.008017872100936,14,vertical
green,037,6,26,0,20.475930114183768,15,both
green,037,7,7,0,-11.772314391470651,12,both
green,037,8,19,0,-6.049454707944264,19,horizontal
green,037,9,28,0,12.38223140926511,19,both
green,059,0,9,0,-29.729325518779707,0,vertical
green,059,1,31,0,5.363219163064429,5,vertical
green,059,2,29,0,-9.6681328882242,0,horizontal
green,059,3,34,1,-13.7812177723277,3,horizontal
green,059,4,39,0,23.56855584773588,10,both
green,059,5,27,0,15.48205410429567,2,horizontal
green,059,6,41,0,29.468722445194842,11,horizontal
green,059,7,50,1,27.532358704342208,6,horizontal
green,059,8,33,0,-22.840069280681746,1,horizontal
green,059,9,2,1,13.517660018840061,11,vertical
green,061,0,33,0,18.675195882677563,4,horizontal
green,061,1,4,0,-13.632985345914392,14,horizontal
green,061,2,37,1,-15.44777242005411,17,vertical
green,061,3,46,0,28.454725167864453,9,horizontal
green,061,4,37,1,13.694032583485424,4,horizontal
green,061,5,28,1,25.353590224220554,13,horizontal
green,061,6,15,1,11.916412962308364,14,horizontal
green,061,7,41,0,-20.718350637007205,0,both
green,061,8,45,1,-8.41657275719232,3,both
green,061,9,22,0,-18.61618577119748,7,vertical
green,067,0,20,0,29.695607337343084,2,vertical
green,067,1,45,0,5.65994422760906,19,vertical
green,067,2,42,0,-2.168579303143243,7,both
green,067,3,21,0,-18.41098510779453,19,horizontal
green,067,4,47,1,15.796280350587843,12,horizontal
green,067,5,45,1,-18.92195217939252,2,both
green,067,6,22,1,15.36869805428222,7,both
green,067,7,12,0,-21.421251573519008,19,vertical
green,067,8,1,1,26.92151021047249,9,both
green,067,9,49,1,-16.013664587224106,9,both
green,074,0,43,0,19.884260485413087,20,horizontal
green,074,1,2,1,-27.977238603803983,18,both
green,074,2,27,0,22.113030293208908,15,both
green,074,3,24,1,29.986908505177723,13,vertical
green,074,4,3,1,21.982677169190183,2,both
green,074,5,47,1,18.119601226623296,17,both
green,074,6,22,0,-0.6221195310108278,11,vertical
green,074,7,27,1,-24.963691036560515,12,both
green,074,8,2,0,5.511942036054592,17,horizontal
green,074,9,17,0,-6.952299426623863,11,both
green,099,0,32,0,5.559190633521055,7,horizontal
green,099,1,27,0,-24.372826534078186,6,vertical
green,099,2,28,1,-17.814937971428066,14,vertical
green,099,3,30,0,5.574657972718072,3,both
green,099,4,36,0,2.213924080895957,14,both
green,099,5,15,0,1.137398020787085,17,vertical
green,099,6,19,0,21.95409023830282,15,horizontal
green,099,7,47,0,10.169350690406183,8,both
green,099,8,19,0,19.549648274784474,12,vertical
green,099,9,23,1,-6.882332538137515,13,vertical
midripen,007,0,31,1,27.512727032514697,3,both
midripen,007,1,38,0,29.035924509623392,15,both
midripen,007,2,50,0,-5.954566289322123,3,both
midripen,007,3,25,1,-13.513034994424043,2,vertical
midripen,007,4,47,0,-1.1089123846955147,3,horizontal
midripen,007,5,9,1,23.14069688504621,12,vertical
midripen,007,6,42,0,14.670844319714249,8,vertical
midripen,007,7,44,1,-17.203952384181648,2,horizontal
midripen,007,8,34,1,1.8250694904414857,1,horizontal
midripen,007,9,4,1,15.055486768009771,17,both
midripen,007,10,26,1,-3.3253846591778284,10,horizontal
midripen,007,11,19,0,23.77123611236393,16,both
midripen,031,0,36,1,1.071005007509676,19,horizontal
midripen,031,1,32,0,-14.576185219504566,15,both
midripen,031,2,9,0,1.4111328904789993,12,both
midripen,031,3,10,0,6.183865390705527,7,both
midripen,031,4,34,1,-14.282016148391904,5,horizontal
midripen,031,5,32,1,23.773771593768963,17,both
midripen,031,6,50,1,-25.415758342503413,7,horizontal
midripen,031,7,5,0,1.0014966468576567,16,both
midripen,031,8,23,0,-24.869759082706878,13,vertical
midripen,031,9,5,0,19.79570591411435,14,both
midripen,031,10,35,0,-8.768175151800104,12,both
midripen,031,11,50,1,-1.1161334585254892,1,vertical
midripen,032,0,25,0,4.24624007203694,9,vertical
midripen,032,1,7,1,-7.4042705699233835,12,horizontal
midripen,032,2,28,1,-25.528481692510645,7,both
midripen,032,3,40,0,-4.188680345938284,11,both
midripen,032,4,43,0,2.9406576186674442,12,horizontal
midripen,032,5,38,0,-14.102976559775463,8,horizontal
midripen,032,6,9,0,-9.73458175062175,2,vertical
midripen,032,7,36,0,18.80169949879771,2,horizontal
midripen,032,8,1,0,26.983792991520005,5,vertical
midripen,032,9,35,1,3.5709445365703516,16,vertical
midripen,032,10,1,0,8.673140382665075,12,both
midripen,032,11,27,1,-1.7247338207942846,13,both
midripen,033,0,34,0,16.050444363731536,7,both
midripen,033,1,41,0,-11.007884777751396,16,vertical
midripen,033,2,39,0,23.619368871672428,15,horizontal
midripen,033,3,34,0,-5.6215820194243165,10,vertical
midripen,033,4,1,0,-3.87435568521472,9,both
midripen,033,5,29,0,-1.4503858866030441,3,horizontal
midripen,033,6,7,1,-26.45900286765719,10,vertical
midripen,033,7,43,0,17.067501260768204,10,both
midripen,033,8,26,1,-20.6446254469083,2,both
midripen,033,9,46,1,-24.67815481803482,11,vertical
midripen,033,10,47,1,0.5662202451242706,12,both
midripen,033,11,33,1,20.725086808784674,6,both
midripen,036,0,4,0,19.397456830555285,19,both
midripen,036,1,44,1,-20.814903528672588,18,vertical
midripen,036,2,38,1,5.872885559807344,16,horizontal
midripen,036,3,12,1,19.91947987605093,19,horizontal
midripen,036,4,39,0,-19.05528533837792,2,horizontal
midripen,036,5,8,0,24.726017926291696,10,horizontal
midripen,036,6,23,1,11.780660270634293,19,horizontal
midripen,036,7,45,0,-17.36251378153425,20,both
midripen,036,8,14,0,4.645087559111786,8,vertical
midripen,036,9,12,1,0.17218586930399482,14,horizontal
midripen,036,10,35,1,15.600033145843632,2,both
midripen,036,11,1,1,20.449816498514096,2,both
midripen,055,0,47,1,-13.76110932454634,8,horizontal
midripen,055,1,2,1,8.518324734797353,7,vertical
midripen,055,2,4,1,14.075540547417646,19,horizontal
midripen,055,3,19,1,17.94328189956044,17,horizontal
midripen,055,4,44,0,24.89140518876171,16,both
midripen,055,5,37,0,22.89929470055059,16,vertical
midripen,055,6,28,0,-19.136698945811098,5,both
midripen,055,7,1,1,-22.70983392261106,0,horizontal
midripen,055,8,13,0,-5.349261641981457,7,both
midripen,055,9,40,0,21.350262999784434,16,horizontal
midripen,055,10,39,1,-12.961968922704369,14,horizontal
midripen,055,11,25,1,12.474337798133497,7,both
midripen,056,0,31,0,-17.96131174787945,10,vertical
midripen,056,1,11,0,23.2192564290183,13,horizontal
midripen,056,2,41,1,22.691722022033325,19,both
midripen,056,3,22,0,-0.312677642023921,14,both
midripen,056,4,36,0,20.01288801335908,16,vertical
midripen,056,5,3,1,-9.233970083318397,18,horizontal
midripen,056,6,19,1,-19.002070976460196,15,vertical
midripen,056,7,3,0,-9.672570473941619,11,horizontal
midripen,056,8,4,0,-17.748974877821293,19,vertical
midripen,056,9,40,1,17.693282980659802,9,horizontal
midripen,056,10,38,1,1.1872129343853004,10,both
midripen,056,11,31,0,-12.626885942413221,5,vertical
midripen,064,0,44,0,19.821345537546883,7,both
midripen,064,1,22,1,-5.630777761534141,0,horizontal
midripen,064,2,24,1,-27.17508515943397,20,vertical
midripen,064,3,26,1,-8.23742144237745,14,both
midripen,064,4,32,0,0.78260153530195,3,horizontal
midripen,064,5,27,1,-20.64963500134463,4,vertical
midripen,064,6,15,0,-24.594025338505542,7,vertical
midripen,064,7,48,1,11.31347717428585,18,horizontal
midripen,064,8,23,1,15.364620895941322,17,both
midripen,064,9,39,0,-5.376483586976192,7,vertical
midripen,064,10,34,0,-2.6663250983064017,3,both
midripen,064,11,30,1,4.409207195916387,19,vertical
midripen,068,0,20,1,14.152046620114554,5,horizontal
midripen,068,1,6,1,-23.493277696303956,2,vertical
midripen,068,2,44,0,14.732927930490938,18,vertical
midripen,068,3,44,0,-28.58502441993807,6,both
midripen,068,4,0,1,-25.27960654289565,13,both
midripen,068,5,2,0,-18.618295087949683,8,both
midripen,068,6,9,0,-29.724130103353296,17,vertical
midripen,068,7,23,0,7.903160541242173,6,horizontal
midripen,068,8,6,1,10.718666312627533,11,vertical
midripen,068,9,17,0,-7.426072286930751,9,vertical
midripen,068,10,14,0,-7.5978434991830035,4,vertical
midripen,068,11,9,1,-9.336920148190828,4,horizontal
midripen,087,0,40,1,17.700532678326155,7,vertical
midripen,087,1,6,0,6.936909307219366,20,vertical
midripen,087,2,8,0,-15.34502642511571,5,both
midripen,087,3,46,0,-26.52156342721101,9,vertical
midripen,087,4,44,0,-17.345878317356934,12,both
midripen,087,5,21,1,-24.618508313410885,14,horizontal
midripen,087,6,18,0,-4.004227795931822,20,both
midripen,087,7,10,1,-4.956180357496006,4,both
midripen,087,8,0,1,8.71278437438238,9,both
midripen,087,9,21,1,-5.507129692482181,2,both
midripen,087,10,38,1,-17.716565307510816,2,vertical
midripen,087,11,28,1,2.4844534871652755,11,vertical
overripen,002,0,24,1,-11.2040261956531,2,vertical
overripen,002,1,32,0,-1.9027779775244582,20,vertical
overripen,002,2,41,0,20.165024445398373,0,vertical
overripen,002,3,23,0,19.547389246717174,12,vertical
overripen,002,4,6,0,11.917374618322974,3,both
overripen,002,5,45,1,16.60083248401876,15,both
overripen,002,6,0,0,-27.85407109974163,8,vertical
overripen,002,7,25,1,23.462978398365692,0,both
overripen,002,8,15,1,24.079736153577443,9,vertical
overripen,002,9,9,0,-29.339163953189132,7,horizontal
overripen,002,10,28,1,19.50308184579722,10,both
overripen,002,11,41,1,-17.138356842091053,10,both
overripen,002,12,40,0,21.428894842888276,20,both
overripen,002,13,33,0,-5.997065924830707,8,both
overripen,002,14,49,0,-19.57430823098871,12,horizontal
overripen,002,15,1,1,-0.7604917482046929,1,both
overripen,002,16,4,1,-21.697381678929982,8,horizontal
overripen,002,17,0,1,-29.36429921822586,0,vertical
overripen,002,18,32,0,1.3985831053676172,6,vertical
overripen,002,19,11,1,-11.571060142517283,7,vertical
overripen,002,20,22,0,-22.9938538081145,16,both
overripen,002,21,49,1,-8.712538971138212,0,both
overripen,002,22,41,0,-11.597591869402585,20,vertical
overripen,002,23,8,0,25.328715855507305,10,both
overripen,002,24,46,1,-1.4197228892131335,20,horizontal
overripen,002,25,24,0,6.476630260821331,8,vertical
overripen,002,26,14,0,16.93363895212167,5,vertical
overripen,002,27,29,0,-26.609503987178897,12,horizontal
overripen,002,28,16,0,20.00861908080421,3,vertical
overripen,002,29,8,0,-19.734684592833847,12,horizontal
overripen,002,30,11,1,26.835719903650585,16,vertical
overripen,002,31,6,0,3.553552634478848,6,both
overripen,003,0,34,0,22.653079745540076,17,both
overripen,003,1,33,1,-5.787177617049171,12,both
overripen,003,2,39,0,9.35355132976948,5,horizontal
overripen,003,3,0,1,5.39772426717083,20,horizontal
overripen,003,4,31,0,28.97411749471879,0,horizontal
overripen,003,5,16,1,-2.09681611719121,20,both
overripen,003,6,2,0,12.15681825086402,9,vertical
overripen,003,7,4,1,6.6954883780841215,13,horizontal
overripen,003,8,36,1,9.810507068426993,1,vertical
overripen,003,9,19,0,-16.731713473298072,17,vertical
overripen,003,10,5,1,-26.989353718913012,14,both
overripen,003,11,7,1,7.756203612886679,8,both
overripen,003,12,2,0,26.092405084384495,11,horizontal
overripen,003,13,20,0,-29.206520494180758,0,both
overripen,003,14,23,0,26.784539776080187,6,both
overripen,003,15,8,0,-27.39114999542939,3,horizontal
overripen,003,16,21,1,-24.762699222028502,5,horizontal
overripen,003,17,32,0,0.8460011395545841,18,both
overripen,003,18,30,0,-15.499005340529417,15,horizontal
overripen,003,19,31,0,6.566591715416713,10,vertical
overripen,003,20,46,0,-20.82472133262878,5,horizontal
overripen,003,21,30,0,5.993334033076096,7,vertical
overripen,003,22,49,1,-10.930930096940962,13,vertical
overripen,003,23,2,1,-22.93957285214436,17,horizontal
overripen,003,24,36,0,-13.134317759857552,7,both
overripen,003,25,20,0,-29.583916369549506,13,both
