type,original-index,augmentation-index,gaussian_noise,blur,rotation_angle,zoom,flip_image
Overripe,001,0,14,1,-3.2642295992873365,11,horizontal
Overripe,001,1,17,1,2.2610730315668945,1,vertical
Overripe,001,2,42,1,6.089568565323837,3,both
Overripe,001,3,44,0,23.290947824634408,3,horizontal
Overripe,001,4,0,1,-12.770057655367005,8,both
Overripe,001,5,40,0,-11.264845355832488,4,vertical
Overripe,001,6,37,0,-9.112657781110443,4,horizontal
Overripe,001,7,33,0,2.796650624159824,8,horizontal
Overripe,001,8,31,0,2.899362646173941,5,both
Overripe,001,9,28,1,-16.906394514439906,18,vertical
Overripe,002,0,5,1,-19.320380324964205,15,horizontal
Overripe,002,1,4,1,23.179705542696368,10,vertical
Overripe,002,2,12,0,29.492890911979877,3,horizontal
Overripe,002,3,37,0,-29.62589801418086,15,horizontal
Overripe,002,4,16,1,19.574975078118364,5,horizontal
Overripe,002,5,7,1,-6.861568037504984,20,horizontal
Overripe,002,6,31,1,-4.661850750898015,14,vertical
Overripe,002,7,37,1,10.562663171366943,19,horizontal
Overripe,002,8,3,0,23.122484306186955,11,vertical
Overripe,002,9,37,1,-20.962085867604948,9,horizontal
Overripe,003,0,42,1,11.091970015512558,12,both
Overripe,003,1,17,1,-8.50804007807384,20,vertical
Overripe,003,2,10,0,-10.520876758950148,9,vertical
Overripe,003,3,19,1,-20.604459688220366,17,horizontal
Overripe,003,4,28,0,-24.806342365659955,2,vertical
Overripe,003,5,6,1,25.72676032791105,19,horizontal
Overripe,003,6,12,0,8.568007290648112,3,horizontal
Overripe,003,7,18,1,9.738787366798185,13,horizontal
Overripe,003,8,43,1,-27.522625024131106,6,vertical
Overripe,003,9,9,0,-4.313872532470079,11,vertical
Overripe,004,0,43,0,19.461076847111123,20,vertical
Overripe,004,1,30,1,-26.158680917005622,1,horizontal
Overripe,004,2,17,0,-22.34314145981603,2,both
Overripe,004,3,37,0,9.605089529212911,15,vertical
Overripe,004,4,12,1,-0.14224467053244538,17,vertical
Overripe,004,5,13,1,-15.054373397317946,18,vertical
Overripe,004,6,46,0,-27.831647750514247,8,vertical
Overripe,004,7,40,1,-1.4943232891263456,9,vertical
Overripe,004,8,13,0,-28.692299271077317,7,horizontal
Overripe,004,9,33,0,-1.0002045016130552,16,vertical
Overripe,005,0,4,1,-1.2580265027977298,0,horizontal
Overripe,005,1,17,0,3.6132598277884824,15,vertical
Overripe,005,2,49,1,-2.638545888022861,1,horizontal
Overripe,005,3,39,0,8.303605433380845,8,vertical
Overripe,005,4,47,1,-9.698482297006276,10,both
Overripe,005,5,11,0,18.552752729532585,18,vertical
Overripe,005,6,23,0,-19.001740772802997,14,vertical
Overripe,005,7,49,1,-22.868273112225133,15,both
Overripe,005,8,38,1,-21.746357682855162,14,vertical
Overripe,005,9,40,1,-7.565208431468783,16,vertical
Overripe,006,0,0,0,11.213594263261307,15,both
Overripe,006,1,14,0,-25.87825444941322,18,vertical
Overripe,006,2,31,1,16.3019619722507,18,horizontal
Overripe,006,3,32,0,-13.421138793895864,20,horizontal
Overripe,006,4,6,1,10.633789838189578,2,vertical
Overripe,006,5,42,0,-29.008017872100936,14,vertical
Overripe,006,6,26,0,20.475930114183768,15,both
Overripe,006,7,7,0,-11.772314391470651,12,both
Overripe,006,8,19,0,-6.049454707944264,19,horizontal
Overripe,006,9,28,0,12.38223140926511,19,both
Overripe,007,0,9,0,-29.729325518779707,0,vertical
Overripe,007,1,31,0,5.363219163064429,5,vertical
Overripe,007,2,29,0,-9.6681328882242,0,horizontal
Overripe,007,3,34,1,-13.7812177723277,3,horizontal
Overripe,007,4,39,0,23.56855584773588,10,both
Overripe,007,5,27,0,15.48205410429567,2,horizontal
Overripe,007,6,41,0,29.468722445194842,11,horizontal
Overripe,007,7,50,1,27.532358704342208,6,horizontal
Overripe,007,8,33,0,-22.840069280681746,1,horizontal
Overripe,007,9,2,1,13.517660018840061,11,vertical
Overripe,008,0,33,0,18.675195882677563,4,horizontal
Overripe,008,1,4,0,-13.632985345914392,14,horizontal
Overripe,008,2,37,1,-15.44777242005411,17,vertical
Overripe,008,3,46,0,28.454725167864453,9,horizontal
Overripe,008,4,37,1,13.694032583485424,4,horizontal
Overripe,008,5,28,1,25.353590224220554,13,horizontal
Overripe,008,6,15,1,11.916412962308364,14,horizontal
Overripe,008,7,41,0,-20.718350637007205,0,both
Overripe,008,8,45,1,-8.41657275719232,3,both
Overripe,008,9,22,0,-18.61618577119748,7,vertical
Overripe,009,0,20,0,29.695607337343084,2,vertical
Overripe,009,1,45,0,5.65994422760906,19,vertical
Overripe,009,2,42,0,-2.168579303143243,7,both
Overripe,009,3,21,0,-18.41098510779453,19,horizontal
Overripe,009,4,47,1,15.796280350587843,12,horizontal
Overripe,009,5,45,1,-18.92195217939252,2,both
Overripe,009,6,22,1,15.36869805428222,7,both
Overripe,009,7,12,0,-21.421251573519008,19,vertical
Overripe,009,8,1,1,26.92151021047249,9,both
Overripe,009,9,49,1,-16.013664587224106,9,both
Overripe,010,0,43,0,19.884260485413087,20,horizontal
