model,batch_size,learning_rate,epoch,train_accuracy,train_loss,validation_accuracy,validation_loss,with_ReduceLROnPlateau,with_weight_decay
VGG19,128,0.001,1,82.96182028538372,0.5189266824254802,92.15565163681283,0.2360971541358874,True,True
VGG19,128,0.001,2,92.0940994986502,0.2391829170724924,94.5645460160593,0.1686990146453564,True,True
VGG19,128,0.001,3,93.2202082529888,0.2021999766721445,94.74984558369364,0.1565924453047605,True,True
VGG19,128,0.001,4,93.9838025453143,0.1739371096824898,95.30574428659666,0.1367492870642588,True,True
VGG19,128,0.001,5,94.58542229078289,0.1611976035523648,95.491043854231,0.1326488649042753,True,True
VGG19,128,0.001,6,94.76282298495951,0.1531510973239646,95.86164298949969,0.1175153819987407,True,True
VGG19,128,0.001,7,94.82452757423832,0.1458149211225556,95.73810994441013,0.1234472500017056,True,True
VGG19,128,0.001,8,95.31816428846896,0.1363967863806322,96.04694255713405,0.1096098242470851,True,True
VGG19,128,0.001,9,95.47242576166605,0.1316000974426666,96.10870907967882,0.108643546127356,True,True
VGG19,128,0.001,10,95.61126108754338,0.124357321902233,96.66460778258184,0.0950164809249914,True,True
VGG19,128,0.001,11,95.88121866563826,0.1175702714233421,96.66460778258184,0.0988270368140477,True,True
VGG19,128,0.001,12,95.66525260316236,0.1193596753200479,96.4793082149475,0.1004950364048664,True,True
VGG19,128,0.001,13,95.95063632857693,0.11409491870333166,96.7881408276714,0.09628072295051354,True,True
